"","O1903027","O1903029","O1903032","O1903033","O1903035","O1903040","O1903047","O1903048","O1903050","O1903054","O1903056","O1903057","O1903059","O1903062","O1903063","O1903065","O1903066","O1903069","O1903071","O1903072","O1903075","O1903076","O1903078","O1903080"
"13588_378.1908_4.626_5332_N/A_ellagic acid_no matches_no matches_no matches_no matches","2.412185e+05","1.798693e+05","2.827925e+05","2.644983e+05","1.021135e+05","1.506328e+05","1.810192e+05","1.632238e+05","2.191442e+05","1.855675e+05","2.268196e+05","3.854372e+05","1.776480e+05","1.160710e+05","1.609319e+05","1.687392e+05","1.619188e+05","1.159939e+05","1.695174e+05","1.387038e+05","2.281288e+05","1.710490e+05","1.203475e+05","1.684047e+05"
"13592_378.1909_4.1133_3466_N/A_NA_no matches_no matches_no matches_no matches","3.378705e+05","4.485423e+05","1.848962e+05","2.527583e+05","4.044263e+05","2.281381e+05","3.590172e+05","1.807748e+05","3.415070e+05","2.066468e+05","3.797302e+05","5.920884e+05","3.893205e+05","2.164572e+05","3.390895e+05","1.932763e+05","2.406704e+05","1.240691e+05","3.487479e+05","3.934321e+05","1.405478e+05","2.390367e+05","3.910679e+05","3.777212e+05"
"13599_378.2272_4.7414_1896_N/A_Rotundine_no matches_no matches_no matches_no matches","2.255597e+05","1.696857e+05","2.161666e+05","2.365521e+05","2.191345e+05","1.563934e+05","1.553829e+05","4.340207e+05","4.162328e+05","2.661949e+05","2.252453e+05","6.333298e+05","1.916244e+05","2.751808e+05","2.284788e+05","1.802018e+05","3.372933e+05","2.426295e+05","3.134050e+05","3.527229e+05","2.467494e+05","3.407849e+05","3.455542e+05","2.325344e+05"
"13660_379.1497_4.9762_3508_N/A_NA_no matches_no matches_no matches_no matches","1.288020e+05","1.422152e+05","2.034412e+05","2.657946e+05","1.811980e+05","2.018291e+05","1.688010e+05","3.167928e+05","2.190885e+05","3.220485e+05","2.483376e+05","4.747429e+05","1.385778e+05","3.855228e+05","7.339460e+04","3.113136e+05","2.580912e+05","1.840793e+05","3.071757e+05","4.548682e+05","4.004631e+05","2.018608e+05","2.966964e+05","1.052594e+05"
"13663_379.1497_4.6737_-1_N/A_NA_no matches_no matches_no matches_no matches","3.632322e+05","4.141432e+05","1.777604e+05","2.327526e+05","3.584505e+05","1.984652e+05","1.665845e+05","1.666837e+05","3.726606e+05","2.358951e+05","1.991393e+05","6.958602e+05","1.925290e+05","1.262634e+05","2.173870e+05","2.214676e+05","1.480269e+05","3.484038e+05","4.390426e+05","3.263208e+05","2.794740e+05","3.256473e+05","3.513592e+05","2.713830e+05"
"13693_379.186_4.4677_46_N/A_NA_no matches_no matches_no matches_no matches","1.868745e+05","2.753856e+05","2.130110e+05","2.197214e+05","2.034432e+05","3.388610e+05","1.735801e+05","3.539899e+05","1.155139e+05","2.998323e+05","2.063091e+05","3.227380e+05","1.445750e+05","2.191003e+05","1.637885e+05","2.660921e+05","1.346057e+05","1.332590e+05","1.269465e+05","1.235429e+05","5.854136e+05","2.546381e+05","3.889758e+05","1.528792e+05"
"13718_379.2112_8.3179_-1_N/A_NA_no matches_no matches_no matches_no matches","2.313852e+05","1.168437e+05","2.257388e+05","1.974418e+05","3.236999e+05","4.527112e+05","2.619146e+05","3.854573e+05","1.826230e+05","2.818263e+05","2.471100e+05","1.546024e+05","2.198201e+05","2.808124e+05","3.194735e+05","3.332303e+05","2.609912e+05","2.142332e+05","1.743142e+05","2.877441e+05","2.640497e+05","2.701123e+05","1.410766e+05","2.537494e+05"
"13772_380.2065_7.8428_-1_N/A_NA_no matches_no matches_no matches_no matches","1.292926e+05","1.221721e+05","1.667601e+05","1.376400e+05","1.414803e+05","3.165114e+05","1.698778e+05","1.423243e+05","1.145868e+05","2.413687e+05","3.133215e+05","2.789492e+05","6.854620e+04","2.734593e+05","1.600431e+05","1.816128e+05","3.160041e+05","1.783564e+05","1.329191e+05","3.354676e+05","1.390052e+05","1.204038e+05","1.512349e+05","1.581181e+05"
"13786_380.2429_5.0382_-1_N/A_8-acetyl-5,7-dimethoxy-2,2-dimethylchromene_no matches_no matches_no matches_no matches","3.852205e+05","1.476589e+05","3.227092e+05","1.730981e+05","2.829142e+05","3.367301e+05","1.883141e+05","2.944559e+05","1.325843e+05","4.048034e+05","2.207268e+05","1.530605e+05","1.511047e+05","1.228759e+05","2.342008e+05","1.920196e+05","2.082425e+05","1.947315e+05","1.749512e+05","1.351098e+05","3.800872e+05","1.752654e+05","2.365016e+05","4.526393e+05"
"13856_381.1178_4.4594_1165_N/A_NA_no matches_no matches_no matches_no matches","3.050138e+05","3.753864e+05","1.249778e+05","4.965435e+05","6.341501e+05","1.455757e+05","1.070349e+05","1.253313e+05","3.612410e+05","1.438260e+05","2.146549e+05","3.638675e+05","2.557908e+05","1.000049e+05","2.060253e+05","3.467162e+05","2.908991e+05","4.197609e+05","3.012683e+05","1.877337e+05","1.026172e+05","3.825732e+05","1.629356e+05","3.489068e+05"
"13860_381.118_5.6051_275_N/A_NA_no matches_no matches_no matches_no matches","1.378678e+05","1.798607e+05","1.532312e+05","8.552858e+04","1.399464e+05","3.690219e+05","2.635868e+05","3.141392e+05","2.110264e+05","3.617183e+05","2.241842e+05","1.208696e+05","1.908430e+05","1.916228e+05","1.720938e+05","1.166213e+05","2.981118e+05","2.512646e+05","3.286921e+05","2.543634e+05","2.299812e+05","1.195390e+05","1.823031e+05","4.622319e+05"
"13888_381.1651_5.2311_275_N/A_NA_no matches_no matches_no matches_no matches","4.354678e+05","3.981861e+05","2.238162e+05","1.327963e+05","2.449692e+05","4.605236e+05","1.769101e+05","3.601473e+05","3.869406e+05","1.989022e+05","2.217305e+05","1.780096e+05","1.989486e+05","3.368316e+05","1.942250e+05","1.850348e+05","2.148980e+05","1.853577e+05","1.244046e+05","3.160857e+05","5.855189e+05","1.920346e+05","2.895533e+05","1.939080e+05"
"13897_381.1653_4.564_-1_N/A_NA_no matches_no matches_no matches_no matches","4.688276e+05","1.921277e+05","1.937492e+05","2.294630e+05","3.423784e+05","3.669875e+05","9.013609e+04","3.497895e+05","3.801778e+05","1.548226e+05","2.224996e+05","1.578201e+05","2.059078e+05","2.315222e+05","2.435495e+05","1.516414e+05","1.265038e+05","3.928692e+05","1.581547e+05","2.050473e+05","4.925841e+05","2.083845e+05","3.492560e+05","1.922147e+05"
"13909_381.1904_8.4727_-1_N/A_NA_no matches_no matches_no matches_no matches","2.259274e+05","3.415875e+05","2.475974e+05","1.136577e+05","2.854070e+05","2.019820e+05","1.428573e+05","2.910966e+05","3.838050e+05","2.176662e+05","2.437687e+05","3.328760e+05","1.763564e+05","4.609867e+05","1.477071e+05","1.434364e+05","1.165560e+05","1.515483e+05","2.149711e+05","1.626695e+05","3.948667e+05","2.715749e+05","3.551675e+05","3.360604e+05"
"13913_381.1905_6.0575_731_N/A_NA_no matches_no matches_no matches_no matches","2.782998e+05","3.221735e+05","3.490009e+05","4.691833e+05","1.412622e+05","1.537892e+05","6.531967e+05","1.676773e+05","2.804424e+05","3.407992e+05","1.573905e+05","3.671726e+05","2.332768e+05","2.923287e+05","2.137896e+05","1.542003e+05","1.954258e+05","2.098774e+05","1.150919e+06","1.701421e+05","1.066056e+05","2.755979e+05","1.332292e+05","3.076901e+05"
"13963_381.2268_10.6108_2750_N/A_NA_no matches_no matches_no matches_no matches","3.059483e+05","2.478315e+05","1.049844e+05","7.536084e+04","3.116947e+05","1.172108e+05","1.425538e+05","1.391669e+05","2.383474e+05","3.393487e+05","1.815888e+05","3.745647e+05","2.509269e+05","1.462110e+05","1.337358e+05","1.256685e+05","1.227891e+05","1.608466e+05","1.607086e+05","2.874723e+05","3.911509e+05","3.142427e+05","2.282596e+05","3.322062e+05"
"13973_381.2457_9.2939_-1_N/A_(1R,7R)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,9,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid_no matches_no matches_no matches_no matches","3.450405e+05","3.025453e+05","3.308247e+05","2.803073e+05","2.376562e+05","2.667203e+05","2.590011e+05","2.786766e+05","2.944065e+05","2.259799e+05","3.206282e+05","3.532382e+05","2.785881e+05","3.295943e+05","2.724796e+05","2.962520e+05","2.295690e+05","2.442098e+05","2.613777e+05","2.631909e+05","2.492172e+05","2.688239e+05","2.523102e+05","2.871791e+05"
"14001_382.1493_5.4063_4727_N/A_NA_no matches_no matches_no matches_no matches","1.570761e+05","5.832915e+05","1.697881e+05","3.486672e+05","2.280751e+05","2.322091e+05","1.334226e+05","3.901886e+05","3.561273e+05","4.147026e+05","2.274449e+05","3.871054e+05","2.211546e+05","1.101351e+05","3.867589e+05","2.792318e+05","1.396545e+05","3.501972e+05","2.370182e+05","2.433916e+05","4.370194e+05","3.701274e+05","4.042658e+05","1.854022e+05"
"14036_382.2221_8.7287_6335_N/A_NA_no matches_no matches_no matches_no matches","2.431720e+05","2.384864e+05","2.294172e+05","2.094914e+05","2.162970e+05","1.827079e+05","2.042503e+05","2.494528e+05","1.997212e+05","2.463785e+05","2.170262e+05","1.685964e+05","1.469469e+05","1.688038e+05","1.727904e+05","1.887332e+05","1.427272e+05","1.682962e+05","3.860362e+05","1.314325e+05","1.549587e+05","1.383670e+05","1.605684e+05","1.746468e+05"
"14045_382.2222_5.9207_7474_N/A_NA_no matches_no matches_no matches_no matches","1.279939e+05","1.402322e+05","1.239899e+05","1.603105e+05","1.872808e+05","1.619073e+05","1.707046e+05","2.878509e+05","1.205044e+05","9.443638e+04","1.898982e+05","1.169764e+05","1.026524e+05","1.347556e+05","1.504756e+05","2.021282e+05","1.376966e+05","1.583497e+05","1.879226e+05","1.343811e+05","1.596302e+05","1.459158e+05","1.181340e+05","1.455060e+05"
"14048_382.2373_8.0643_4970_N/A_NA_no matches_no matches_no matches_no matches","1.938719e+05","2.045052e+05","2.449688e+05","2.403146e+05","2.111579e+05","2.317017e+05","2.051046e+05","2.114208e+05","1.696311e+05","2.325497e+05","2.185514e+05","2.332465e+05","1.934125e+05","1.624024e+05","2.565957e+05","2.144702e+05","2.473109e+05","2.232559e+05","2.457871e+05","2.018829e+05","1.876337e+05","2.266053e+05","2.052738e+05","2.367496e+05"
"14114_383.1335_4.5319_-1_N/A_NA_no matches_no matches_no matches_no matches","6.153662e+05","3.356670e+05","1.959738e+05","1.674757e+05","1.531711e+05","1.900753e+05","1.118053e+05","1.558778e+05","1.425464e+05","3.525129e+05","2.933023e+05","1.772564e+05","1.860538e+05","2.622459e+05","2.514575e+05","2.638164e+05","1.221213e+05","4.073532e+05","4.788195e+05","2.857883e+05","2.099822e+05","2.842113e+05","3.455992e+05","3.109774e+05"
"14147_383.1809_4.3531_5645_N/A_NA_no matches_no matches_no matches_no matches","2.279118e+05","2.273625e+05","2.218728e+05","3.088923e+05","4.327841e+05","2.546873e+05","2.555446e+05","2.846911e+05","3.264772e+05","2.843088e+05","1.865622e+05","2.609160e+05","3.535436e+05","4.100833e+05","1.489185e+05","7.308120e+04","2.187834e+05","1.117282e+05","1.572584e+05","3.042036e+05","4.513560e+05","2.117663e+05","3.845680e+05","3.978482e+05"
"14187_383.2414_8.9259_-1_N/A_ST092794_no matches_no matches_no matches_no matches","3.660715e+05","2.789624e+05","2.716800e+05","2.574977e+05","2.777141e+05","2.641960e+05","2.761684e+05","2.679921e+05","3.117248e+05","3.016608e+05","2.755776e+05","3.016613e+05","2.567791e+05","2.558892e+05","2.430296e+05","3.310648e+05","3.053075e+05","2.899313e+05","2.946164e+05","2.724688e+05","2.428718e+05","2.881114e+05","2.522677e+05","3.001209e+05"
"14213_383.2788_9.0673_333_N/A_NA_no matches_no matches_no matches_no matches","2.161088e+03","0.000000e+00","0.000000e+00","2.838079e+03","3.566924e+03","0.000000e+00","6.540308e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.516679e+03","3.765513e+03","0.000000e+00","2.374601e+03","0.000000e+00","0.000000e+00","2.289508e+03","0.000000e+00","0.000000e+00","0.000000e+00","4.712677e+03","3.765002e+03","0.000000e+00"
"14239_384.165_3.308_2937_N/A_NA_no matches_no matches_no matches_no matches","2.310703e+05","2.444801e+05","3.025732e+05","3.225831e+05","2.247042e+05","2.464569e+05","2.900230e+05","2.730513e+05","3.092229e+05","1.993099e+05","4.705176e+05","3.825876e+05","1.822155e+05","1.899798e+05","2.595827e+05","3.479389e+05","2.542680e+05","2.175329e+05","2.501018e+05","1.300634e+05","2.319799e+05","3.499453e+05","2.231226e+05","1.938211e+05"
"14258_384.1861_3.0752_2937_N/A_NA_no matches_no matches_no matches_no matches","1.586623e+05","2.536626e+05","4.053240e+05","1.582432e+05","2.425217e+05","1.926662e+05","2.730922e+04","1.905828e+05","2.035545e+05","2.883907e+05","1.702871e+05","2.931203e+05","1.951959e+05","3.050948e+05","5.392781e+04","1.436772e+05","1.595070e+05","1.297184e+05","1.430551e+05","2.189517e+05","2.195978e+05","1.568302e+05","2.071319e+05","2.251838e+05"
"14266_384.2014_7.391_94_N/A_NA_no matches_no matches_no matches_no matches","1.034063e+05","3.194655e+05","2.884226e+05","2.176781e+05","4.159385e+05","2.989412e+05","2.619233e+05","2.480240e+05","3.216802e+05","1.745175e+05","2.425879e+05","1.782095e+05","2.241921e+05","3.856302e+05","2.245576e+05","2.412112e+05","2.919522e+05","1.815933e+05","1.745525e+05","2.177808e+05","2.810292e+05","2.602968e+05","3.365354e+05","3.523942e+05"
"14269_384.2015_5.5996_2195_N/A_NA_no matches_no matches_no matches_no matches","2.224060e+05","1.214446e+05","1.063478e+05","1.329365e+05","1.757452e+05","2.382804e+05","1.952366e+05","2.661218e+05","1.714180e+05","1.390579e+05","1.641804e+05","1.585089e+05","1.146672e+05","2.656261e+05","7.974428e+04","3.057388e+05","1.368238e+05","1.012478e+05","1.632180e+05","2.722864e+05","2.848540e+05","2.335222e+05","1.514335e+05","1.273438e+05"
"14270_384.2015_6.3953_893_N/A_NA_no matches_no matches_no matches_no matches","4.047161e+05","3.746524e+05","1.485472e+05","1.554588e+05","2.568908e+05","1.203149e+05","2.504436e+05","1.800433e+05","1.129129e+05","3.797108e+05","2.700702e+05","3.043637e+05","2.692529e+05","4.098864e+05","2.362910e+05","4.027687e+05","1.427350e+05","3.785922e+05","4.164812e+05","2.333119e+05","1.139910e+05","1.187112e+05","2.615003e+05","2.994695e+05"
"14355_385.0611_3.5066_-1_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"14368_385.1491_5.582_2888_N/A_9H-xanthen-9-one_no matches_no matches_no matches_no matches","1.177726e+05","3.693780e+05","5.261784e+05","1.918494e+05","3.105643e+05","3.257483e+05","1.675733e+05","1.790612e+05","2.437993e+05","4.187630e+05","3.580616e+05","3.918246e+05","2.368143e+05","4.089897e+05","3.832980e+05","1.550261e+05","2.541479e+05","4.095199e+05","1.950520e+05","3.756273e+05","4.689473e+05","2.597862e+05","2.752658e+05","2.072713e+05"
"14379_385.1855_6.3783_-1_N/A_Massbank:FFF00263 Androstenedione_no matches_no matches_no matches_no matches","4.397342e+05","3.285386e+05","1.412444e+05","1.456046e+05","3.570750e+05","3.844202e+05","2.005115e+05","3.608285e+05","2.072012e+05","3.062230e+05","1.819206e+05","3.872469e+05","1.536419e+05","1.591934e+05","3.690508e+05","3.416864e+05","2.603330e+05","4.606018e+05","4.776878e+05","2.001835e+05","1.515075e+05","4.808538e+05","4.217658e+05","1.591493e+05"
"14409_385.2428_4.6447_43_N/A_NA_no matches_no matches_no matches_no matches","2.522763e+05","2.776719e+05","2.413311e+05","2.220128e+05","2.436605e+05","2.510983e+05","2.424941e+05","3.089105e+05","2.393913e+05","2.940213e+05","2.349611e+05","3.033802e+05","2.546592e+05","2.645207e+05","2.944654e+05","2.983580e+05","2.814855e+05","3.214718e+05","3.792347e+05","2.578547e+05","2.497781e+05","2.756583e+05","2.778221e+05","3.062376e+05"
"14464_386.1807_4.7079_1939_N/A_NA_no matches_no matches_no matches_no matches","4.711807e+05","3.985543e+05","3.173280e+05","1.344970e+05","2.095110e+05","1.521992e+05","1.375207e+06","1.618304e+05","3.438447e+05","3.182151e+05","2.483116e+05","2.618233e+05","4.177189e+05","2.735344e+05","1.102430e+06","2.709519e+05","3.130968e+05","1.433044e+06","4.894014e+05","2.034959e+05","1.704964e+05","4.004186e+05","3.043606e+05","3.641404e+05"
"14480_386.2322_5.2935_-1_N/A_NA_no matches_no matches_no matches_no matches","2.047742e+04","2.039357e+04","4.163383e+04","3.320490e+04","3.278091e+04","2.243568e+04","2.940019e+04","1.636497e+04","3.674829e+04","1.826498e+04","3.410159e+04","1.760791e+04","1.073916e+04","3.475567e+04","3.523147e+04","4.955706e+04","1.448964e+04","6.287363e+04","2.121738e+04","2.703935e+04","3.008758e+04","4.211829e+04","2.356668e+04","4.576438e+04"
"14489_386.2381_5.291_4320_N/A_NA_no matches_no matches_no matches_no matches","3.849472e+05","3.188975e+05","3.489901e+05","2.113583e+05","3.530115e+05","3.609563e+05","2.026496e+05","3.076631e+05","2.744998e+05","3.282275e+05","3.142498e+05","4.130180e+05","3.066102e+05","3.644252e+05","1.738972e+05","3.050818e+05","2.685815e+05","2.974922e+05","3.345286e+05","3.754308e+05","3.525621e+05","3.566049e+05","3.694100e+05","3.877444e+05"
"14500_386.2745_5.3793_43_N/A_NA_no matches_no matches_no matches_no matches","2.090302e+06","1.840261e+06","2.023393e+06","1.597300e+06","1.818092e+06","1.905005e+06","1.693636e+06","1.913415e+06","1.778409e+06","1.685461e+06","1.836949e+06","1.928903e+06","1.763602e+06","2.071766e+06","1.849182e+06","2.096503e+06","1.612036e+06","1.804840e+06","2.234983e+06","1.751664e+06","1.723938e+06","1.808945e+06","1.866362e+06","2.068678e+06"
"14501_386.2745_4.3704_-1_N/A_NA_no matches_no matches_no matches_no matches","2.547855e+05","2.449728e+05","3.291695e+05","3.158733e+05","3.020591e+05","3.140678e+05","3.185972e+05","2.890685e+05","3.015281e+05","2.888900e+05","2.583949e+05","3.415493e+05","2.761874e+05","2.917696e+05","2.550265e+05","3.155882e+05","2.254609e+05","2.657338e+05","3.358052e+05","2.190482e+05","2.447165e+05","2.260196e+05","2.598165e+05","3.061104e+05"
"14509_386.2898_11.601_83_N/A_NA_no matches_no matches_no matches_no matches","1.304674e+05","1.274122e+05","2.765891e+05","4.260249e+04","3.179572e+05","1.553269e+05","1.128485e+04","1.413067e+05","2.018158e+05","9.468887e+04","2.463606e+05","4.147355e+05","1.457131e+05","2.630198e+05","2.778976e+05","1.471790e+05","2.445715e+05","3.979121e+05","1.940969e+05","1.985355e+05","2.421596e+05","2.330724e+05","1.715346e+05","2.359327e+05"
"14523_387.1535_5.721_843_N/A_NA_no matches_no matches_no matches_no matches","4.848578e+04","2.731538e+04","1.977891e+04","1.020632e+04","2.041689e+04","2.892847e+04","1.342316e+04","2.450099e+04","2.958379e+04","3.144569e+04","3.661434e+04","1.917630e+04","1.747708e+04","1.682364e+04","2.299384e+04","1.718798e+04","1.652540e+04","2.833074e+04","1.597146e+04","3.642175e+04","2.776615e+04","1.531373e+04","2.967197e+04","3.358903e+04"
"14524_387.1632_3.4746_-1_N/A_QuinineHCl_no matches_no matches_no matches_no matches","1.136117e+04","1.357764e+04","1.390416e+04","2.499819e+04","2.171134e+04","3.242990e+04","4.113420e+04","2.797831e+04","1.667849e+04","2.519303e+04","3.556801e+04","2.104268e+04","1.931026e+04","3.586441e+04","3.584485e+04","4.202062e+04","1.106310e+04","3.513625e+04","1.551563e+04","1.747429e+04","1.373035e+04","4.522462e+04","2.077832e+04","2.316327e+04"
"14590_388.1751_5.0169_132_N/A_NA_no matches_no matches_no matches_no matches","2.958396e+04","4.156095e+04","3.179633e+04","2.389492e+04","1.462917e+04","1.321104e+04","3.097957e+04","2.736669e+04","4.410584e+04","1.074349e+04","5.040099e+04","2.998532e+04","1.556731e+04","1.796148e+04","2.541864e+04","2.534191e+04","1.581554e+04","3.046581e+04","3.575506e+04","3.252822e+04","2.468276e+04","3.265269e+04","1.697678e+04","4.071277e+04"
"14591_388.1751_4.925_1357_N/A_NA_no matches_no matches_no matches_no matches","2.223985e+04","4.156095e+04","3.179633e+04","2.389492e+04","3.347674e+04","1.878779e+04","2.975951e+04","3.821251e+04","3.847805e+04","1.074349e+04","3.332070e+04","2.998532e+04","2.998205e+04","1.796148e+04","2.541864e+04","4.261151e+04","1.581554e+04","3.046581e+04","3.575506e+04","4.461417e+04","2.468276e+04","2.750630e+04","1.697678e+04","8.394329e+04"
"14594_388.1751_4.5271_1357_N/A_NA_no matches_no matches_no matches_no matches","4.059065e+04","3.635192e+04","2.292586e+04","2.524684e+04","2.793474e+04","3.242603e+04","2.142793e+04","3.164146e+04","1.749774e+04","3.362649e+04","3.600003e+04","3.827086e+04","2.794644e+04","2.761281e+04","1.936985e+04","2.611343e+04","2.630165e+04","1.787686e+04","3.094667e+04","5.292052e+04","2.750981e+04","3.885940e+04","2.548037e+04","2.284879e+04"
"14596_388.1752_4.1527_10_N/A_Spectral Match to Nonaethylene glycol from NIST14_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Ethers","4.026620e+04","8.467115e+04","3.265318e+04","2.242273e+04","4.123402e+04","4.753321e+04","2.611474e+04","1.152030e+04","2.001250e+04","3.490390e+04","3.131515e+04","3.280838e+04","1.703157e+04","4.918531e+04","4.124794e+04","2.056028e+04","2.017764e+04","2.374730e+04","1.919997e+04","3.027296e+04","1.743097e+04","2.042342e+04","3.286943e+04","1.455335e+04"
"14600_388.1867_3.7169_5832_N/A_NA_no matches_no matches_no matches_no matches","1.420387e+04","4.500961e+04","3.281175e+04","2.248781e+04","1.952897e+04","3.346789e+04","1.524539e+04","3.441810e+04","2.216956e+04","2.196781e+04","1.460194e+04","1.655208e+04","3.417866e+04","3.334628e+04","3.352111e+04","2.273640e+04","4.440652e+04","2.575338e+04","2.663363e+04","3.463401e+04","5.309201e+04","4.917487e+04","2.458631e+04","4.765325e+04"
"14602_388.1869_3.8336_5832_N/A_NA_no matches_no matches_no matches_no matches","3.433449e+04","4.177029e+04","2.504292e+04","3.992036e+04","4.156734e+04","3.689284e+04","3.811536e+04","3.896893e+04","4.563981e+04","4.448114e+04","2.066229e+04","1.655208e+04","2.232034e+04","2.697958e+04","1.872663e+04","3.458829e+04","2.402735e+04","4.174410e+04","5.417359e+04","3.147582e+04","4.837297e+04","2.590374e+04","4.156702e+04","4.814748e+04"
"14628_388.248_6.6128_10065_N/A_pokeberrygenin_no matches_no matches_no matches_no matches","2.052715e+05","2.489918e+05","1.574401e+05","1.083230e+05","3.565065e+05","2.683148e+05","9.797605e+04","1.761880e+05","2.181846e+05","1.689753e+05","1.134252e+05","2.848241e+05","2.698514e+05","3.356516e+05","1.251452e+05","1.081571e+05","1.742912e+05","1.502570e+05","1.529517e+05","2.200371e+05","4.188297e+05","1.955903e+05","2.340671e+05","4.232639e+05"
"14665_389.1358_7.3584_2162_N/A_NA_no matches_no matches_no matches_no matches","3.834912e+04","2.738385e+04","4.149998e+04","4.172536e+04","2.950093e+04","3.410498e+04","3.923893e+04","3.364084e+04","4.045138e+04","4.681708e+04","4.272309e+04","4.011436e+04","3.100799e+04","3.344882e+04","4.047588e+04","3.944264e+04","4.783572e+04","3.907021e+04","5.719715e+04","2.861252e+04","3.835552e+04","3.958195e+04","3.281084e+04","3.821115e+04"
"14685_389.1806_4.4954_1639_N/A_Spectral Match to Hexapropylene glycol from NIST14_no matches_no matches_no matches_no matches","3.015060e+04","1.297759e+04","2.775532e+04","3.562345e+04","2.413055e+04","1.275468e+04","2.161928e+04","1.979968e+04","2.270310e+04","1.360175e+04","1.581285e+04","4.553781e+04","2.283186e+04","1.804190e+04","2.616136e+04","2.512962e+04","2.993367e+04","1.008631e+04","1.362082e+04","3.323052e+04","2.013564e+04","1.351956e+04","1.771218e+04","3.150869e+04"
"14698_389.1955_8.3119_5428_N/A_NA_no matches_no matches_no matches_no matches","2.019633e+05","1.686754e+05","4.714768e+05","2.568798e+05","1.049958e+05","2.473800e+05","2.066133e+05","1.354022e+05","1.720521e+05","2.910684e+05","3.014049e+05","1.660673e+05","2.827459e+05","4.552235e+05","2.068814e+05","2.789156e+05","3.638466e+05","2.902185e+05","5.691011e+05","2.572377e+05","3.217005e+05","1.456175e+05","2.868972e+05","3.437086e+05"
"14700_389.2067_6.9111_-1_N/A_gibberellic acid_no matches_no matches_no matches_no matches","2.480646e+04","3.790063e+04","2.835707e+04","3.260041e+04","1.438160e+04","3.724519e+04","1.782080e+04","3.736369e+04","1.664745e+04","3.803322e+04","3.225827e+04","3.525416e+04","2.891577e+04","1.880107e+04","1.124477e+04","3.035500e+04","2.976692e+04","2.664784e+04","3.323097e+04","3.825552e+04","2.646602e+04","4.636605e+04","3.063415e+04","3.520056e+04"
"14744_390.2271_5.1184_1283_3-methyl-5-[3-methyl-11-(4-methyl-5-oxooxolan-2-yl)-5-oxa-10-azatricyclo[8.3.0.01/4,?]tridecan-4-yl]-2,5-dihydrofuran-2-one_Himbacine_Organic compounds_Alkaloids and derivatives_Stemona alkaloids_Stemoamide-type alkaloids","2.673043e+05","2.797050e+05","3.276650e+05","1.121707e+05","1.242594e+05","8.971584e+04","1.249703e+05","2.364167e+05","2.019691e+05","1.305477e+05","4.679476e+04","3.984496e+05","1.875557e+05","1.541532e+05","1.627364e+05","2.080376e+05","1.686411e+05","1.549422e+05","1.762913e+05","1.962829e+05","2.846270e+05","1.106118e+05","1.118521e+05","2.557078e+05"
"14745_390.2272_6.0011_1871_N/A_Massbank:LU031151 MK-547|J-104132|(5S,6R,7R)-5-(1,3-benzodioxol-5-yl)-2-butyl-7-[2-[(2S)-2-carboxypropyl]-4-methoxyphenyl]-6,7-dihydro-5H-cyclopenta[b]pyridine-6-carboxylic acid_Organic compounds_Alkaloids and derivatives_Stemona alkaloids_Stemoamide-type alkaloids","3.464078e+05","2.595042e+05","2.410870e+05","3.471577e+05","3.195302e+05","3.018233e+05","3.184274e+05","3.007950e+05","2.009021e+05","2.981536e+05","3.901322e+05","3.555960e+05","2.516164e+05","2.687966e+05","3.553347e+05","3.096420e+05","4.630117e+05","3.939005e+05","3.515909e+05","3.491892e+05","2.458347e+05","3.568223e+05","4.946292e+05","3.213365e+05"
"14763_390.2855_13.7568_6896_N/A_Dendrodolide N_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.106491e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"14790_390.7327_5.6537_258_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.962035e+04","4.902167e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
