Feature_ID,Coral,Coral_Dictyota,Coral_Turf,Turf,Dictyota,count
"180_167.1066_9.2652_-1_Massbank:LU129002 4-tert-Butylcatechol|4-tert-butylbenzene-1,2-diol_Massbank:LU129002 4-tert-Butylcatechol|4-tert-butylbenzene-1,2-diol_Organic compounds_Benzenoids_Benzene and substituted derivatives_Phenylpropanes",808348.3,679839.1,NA,NA,671342.2,3
"189_167.1066_9.4118_32_(S)-(-)-Perillic acid_""3,4 DIHYDROXYMANDELATE""_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",412204.7,NA,NA,NA,NA,1
"190_167.1066_8.3717_32_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",779021.3,NA,NA,NA,NA,1
"195_167.1067_4.7501_32_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",NA,NA,9052827,NA,NA,1
"203_169.076_4.3917_-1_9H-Pyrido[3,4-B]indole_MassbankEU:SM812005 Benzimidazole|1H-Benzimidazole_Organic compounds_Organoheterocyclic compounds_Indoles and derivatives_Pyridoindoles",208684.8,NA,273342.3,253996.1,NA,3
208_169.0859_4.6185_32_N/A_ADIPATE_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids,NA,NA,3256810,NA,NA,1
225_170.0812_1.0528_3600_N/A_Massbank:LU082005 Acetaminophen|N-(4-hydroxyphenyl)acetamide_no matches_no matches_no matches_no matches,NA,NA,NA,56897.22,NA,1
234_170.1175_6.6343_2331_N/A_Massbank:LU119203 Ethyl 3-(N-butylacetamido)propionate|Ethyl butylacetylaminopropionate|ethyl 3-[acetyl(butyl)amino]propanoate_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Carboxylic acid derivatives,NA,NA,545516.5,NA,NA,1
238_170.1651_6.033_-1_N/A_Massbank:LU080702 Azacyclotridecan-2-one_no matches_no matches_no matches_no matches,NA,NA,NA,17236.94,NA,1
242_171.1015_8.8827_1059_azelaic acid_Octanedioic acid_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates,NA,317510.9,352994.7,587812.2,299677.2,4
250_171.1379_9.0147_-1_10-Hydroxydecanoic acid_10-HYDROXYDECANOATE_Organic compounds_Organic acids and derivatives_Hydroxy acids and derivatives_Medium-chain hydroxy acids and derivatives,NA,210116.3,182689.9,256217.1,NA,3
"304_174.1852_6.6134_-1_N/A_N~1~,N~4~-bis(3-aminopropyl)-1,4-butanediamine_no matches_no matches_no matches_no matches",109142.7,57146.92,219760.3,280394.7,20287.51,5
305_175.0358_7.0258_2_N/A_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines,NA,NA,NA,974441.2,NA,1
308_175.0965_6.5065_212_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,377204.9,271511,NA,2
314_175.1117_9.8874_3041_Spectral Match to (-)-Perillyl alcohol from NIST14_Spectral Match to Pinolenic acid from NIST14_no matches_no matches_no matches_no matches,NA,NA,NA,479011.6,NA,1
"333_176.0198_4.3974_2_N/A_Massbank:EQ372402 Thiram|Dimethylcarbamothioylsulfanyl N,N-dimethylcarbamodithioate_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",NA,NA,34929.44,27024.24,49510.31,3
"340_176.1433_3.8289_5799_N/A_Massbank:EQ365202 Ethoxyquin|6-ethoxy-2,2,4-trimethyl-1H-quinoline_no matches_no matches_no matches_no matches",NA,NA,327408.8,157234.5,195938,3
342_176.1434_3.4485_5799_N/A_6-methoxy-2-phenyl-4H-chromen-4-one_no matches_no matches_no matches_no matches,220748,NA,NA,279588,NA,2
"346_177.0692_3.1511_2_N/A_Massbank:EQ370904 Fluometuron|1,1-dimethyl-3-[3-(trifluoromethyl)phenyl]urea_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",NA,NA,29711.5,NA,NA,1
355_177.091_6.4211_-1_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,208474.5,234662.5,NA,2
373_177.1484_6.1011_166_N/A_Spectral Match to Pentapropylene glycol from NIST14_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Alcohols and polyols,367250.7,NA,NA,NA,NA,1
"374_177.1637_11.0952_-1_Spectral Match to 2-Butanone, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)- from NIST14_Spectral Match to 2-Butanone, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)- from NIST14_no matches_no matches_no matches_no matches",NA,172951.8,NA,NA,164457.3,2
"408_179.1066_7.6093_-1_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_no matches_no matches_no matches_no matches",NA,372849.1,NA,NA,NA,1
432_180.1019_1.8577_116_Massbank:EQ333702 N-ethyl-4-methoxybenzamide_Massbank:NA002800 Hordenine|4-[2-(dimethylamino)ethyl]phenol_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives,18689.28,18546.8,NA,24071.75,19222.09,4
435_180.1381_7.9056_-1_Massbank:LU054801 2-(N-Ethyl-m-toluidino)ethanol|2-(N-ethyl-3-methylanilino)ethanol_Massbank:LU129902 4-(3-Phenylpropyl)pyridine_Organic compounds_Benzenoids_Benzene and substituted derivatives_Toluenes,NA,NA,387292.5,NA,NA,1
439_180.1382_1.7402_2368_N/A_Massbank:EA282010 1-Benzylpiperazine|N-Benzylpiperazine|1-(phenylmethyl)piperazine_Organic compounds_Benzenoids_Benzene and substituted derivatives_Phenylmethylamines,25096.44,NA,29877.53,NA,22984.78,3
449_181.0719_2.9137_2054_PARAXANTHINE_PARAXANTHINE_Organic compounds_Organoheterocyclic compounds_Imidazopyrimidines_Purines and purine derivatives,NA,520019.4,NA,NA,575431,2
450_181.0858_6.1986_2914_N/A_(+)-Nootkatone - 40.0 eV_no matches_no matches_no matches_no matches,NA,434542.5,NA,535594.9,522674.5,3
451_181.0858_7.2067_-1_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,583269.9,NA,1
"506_183.1856_4.8693_364_N/A_Massbank:LU068801 1-Cyclohexylpyrrolidin-2-one|N-Cyclohexyl-2-pyrrolidone_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Bile acids, alcohols and derivatives",NA,NA,35913430,NA,NA,1
531_185.0785_1.3376_1255_N/A_(S)-(-)-Perillic acid_no matches_no matches_no matches_no matches,NA,NA,26902.48,42535.11,17836.2,3
"534_185.1148_5.2106_3698_N/A_Massbank:LU129002 4-tert-Butylcatechol|4-tert-butylbenzene-1,2-diol_Organic compounds_Organoheterocyclic compounds_Quinolines and derivatives_Benzoquinolines",NA,5513243,NA,NA,5595425,2
538_185.1172_4.7757_32_N/A_Jasmonic Acid_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids,NA,NA,1675099,NA,NA,1
539_185.1172_8.3508_682_N/A_Furanodiene_Organic compounds_Organoheterocyclic compounds_Pyrans_Pyranones and derivatives,406415.9,NA,NA,NA,NA,1
540_185.1172_9.8157_1059_N/A_Spectral Match to Azelaic acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates,NA,NA,NA,839818.2,NA,1
541_185.1172_4.3271_-1_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,424022.1,NA,NA,1
542_185.1172_4.8321_32_N/A_Jasmonic Acid_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids,NA,NA,1292560,NA,NA,1
544_185.1324_9.4178_2466_N/A_10-Hydroxydecanoic acid_no matches_no matches_no matches_no matches,NA,NA,NA,NA,132739.7,1
546_185.1325_9.5085_2466_N/A_10-Hydroxydecanoic acid_no matches_no matches_no matches_no matches,NA,NA,NA,NA,270139.4,1
547_185.1325_10.3587_2761_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,170081.8,NA,1
"569_186.2215_9.5435_64_Massbank:AU285406 N,N-Dimethyldecylamine|N,N-dimethyldecan-1-amine_Spectral Match to 1-Octadecanamine from NIST14_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",NA,NA,150180.8,NA,NA,1
"576_187.0964_9.1947_1204_N/A_Massbank:EA013502 Metalaxyl|2-(N-(2-methoxy-1-oxoethyl)-2,6-dimethylanilino)propanoic acid methyl ester_no matches_no matches_no matches_no matches",NA,46527.88,62540.55,NA,NA,2
586_187.0965_5.8107_1204_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,266283.5,NA,NA,1
601_188.0706_3.7251_-1_Spectral Match to 3-Indoleacrylic acid from NIST14_4-Pyridoxic acid_no matches_no matches_no matches_no matches,NA,148883.4,NA,228256,148671,3
602_188.0706_2.956_8393_Spectral Match to L-Tryptophan from NIST14_Spectral Match to L-Tryptophan from NIST14_Organic compounds_Organoheterocyclic compounds_Indoles and derivatives_Indolyl carboxylic acids and derivatives,NA,301581.2,NA,NA,296801.2,2
603_188.0917_3.2876_1160_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,521124.4,781064.8,481059.8,3
605_188.0917_1.3596_1160_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,391292.6,NA,NA,1
607_188.0917_1.5434_1160_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,461826.6,NA,1
608_188.0917_1.1973_1160_N/A_N-acetyl-beta-D-galactosamine - 40.0 eV_no matches_no matches_no matches_no matches,NA,NA,NA,NA,82389.98,1
"609_188.0921_3.4707_-1_Massbank:LU106302 6-Phenyl-1,3,5-triazine-2,4-diamine_Massbank:LU106302 6-Phenyl-1,3,5-triazine-2,4-diamine_Organic compounds_Organoheterocyclic compounds_Triazines_Aminotriazines",NA,118621.8,204589.8,NA,177558.3,3
611_188.128_6.1901_1789_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,586349.9,NA,1
614_188.1281_4.8179_1260_N/A_methyl 2-(2-amino-4-hydroxy-6-methylpyrimidin-5-yl)acetate_no matches_no matches_no matches_no matches,NA,NA,418960.5,181452.5,NA,2
621_189.0545_7.1543_3123_N/A_Spectral Match to Salicylaldehyde from NIST14_Organic compounds_Organoheterocyclic compounds_Quinolines and derivatives_Quinoline carboxylic acids,NA,208340.2,NA,120816.6,461495.5,3
"622_189.0546_6.6427_3123_7-hydroxy-4,8-dimethylchromen-2-one_kynurenic acid_Organic compounds_Organoheterocyclic compounds_Quinolines and derivatives_Quinoline carboxylic acids",NA,614014.2,NA,111132,1011047,3
628_189.1121_8.8791_1452_N/A_SUBERIC ACID_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acid esters,NA,NA,1234768,1937433,NA,2
650_190.032_4.2288_1369_N/A_NA_no matches_no matches_no matches_no matches,485203.3,481887.1,482980.1,560589.9,696067.4,5
664_191.0848_4.3554_3882_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,21145.25,24030.92,2
"665_191.0849_1.8685_6613_N/A_Massbank:BML01302 2',4-Dihydroxychalcone_no matches_no matches_no matches_no matches",NA,35213.71,48698.52,68111.74,64775.86,4
666_191.0849_1.2134_6613_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,19394.28,21311.35,2
"692_192.0477_9.6269_573_N/A_MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",NA,NA,131980.7,76173.23,NA,2
"693_192.0688_6.1283_2_N/A_Massbank:EQ370904 Fluometuron|1,1-dimethyl-3-[3-(trifluoromethyl)phenyl]urea_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",26382.27,NA,32033.18,60304.35,44802.82,4
"698_192.1019_1.3827_573_N/A_MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",NA,NA,NA,64871.41,NA,1
724_193.0464_4.3919_2_N/A_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines,NA,NA,NA,16881.28,NA,1
731_193.1222_8.6203_-1_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,263950.4,NA,NA,1
789_195.0685_2.2292_-1_N/A_NA_no matches_no matches_no matches_no matches,NA,27062.99,755376.2,1770024,59029.52,4
798_195.1015_6.1802_2345_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,494959.9,NA,1
820_196.0604_5.2_6789_N/A_MassbankEU:ET130803 OCP_211.0633_15.3|1-(2-Chlorophenyl)piperazin-2-one|1-(2-chlorophenyl)piperazin-2-one_no matches_no matches_no matches_no matches,NA,NA,86267.06,62278.54,NA,2
"837_197.1171_7.5732_5327_N/A_6,11-dioxododecanoic acid_no matches_no matches_no matches_no matches",NA,375155.9,NA,NA,NA,1
839_197.1171_7.7401_32_N/A_Methyl Jasmonate (Mixiture of isomers)_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids,NA,NA,NA,567397,NA,1
851_197.1324_10.7144_528_N/A_NA_no matches_no matches_no matches_no matches,NA,103782.2,NA,NA,152964.7,2
890_198.1964_5.5798_483_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acid esters,NA,NA,369209.7,95596.44,NA,2
899_199.0964_6.8738_1562_N/A_Genipin_no matches_no matches_no matches_no matches,NA,NA,350624.9,280035,NA,2
900_199.0964_6.8155_1562_N/A_Genipin_no matches_no matches_no matches_no matches,NA,NA,213880.4,178858.8,122596.6,3
"905_199.1327_6.1885_3698_Massbank:LU049904 Tacrine|1,2,3,4-tetrahydroacridin-9-amine_Massbank:LU071501 Nootkatone|(4R,4aS,6R)-4,4a-dimethyl-6-prop-1-en-2-yl-3,4,5,6,7,8-hexahydronaphthalen-2-one_Organic compounds_Organoheterocyclic compounds_Quinolines and derivatives_Benzoquinolines",NA,NA,271017.5,NA,NA,1
911_199.1328_8.2357_-1_N/A_Methyl Jasmonate (mixture of isomers) - 40.0 eV_no matches_no matches_no matches_no matches,NA,232954.1,206949,449953.7,369017,4
912_199.1328_4.8435_-1_N/A_Methyl Jasmonate (Mixiture of isomers)_no matches_no matches_no matches_no matches,NA,NA,942289,NA,NA,1
916_199.1481_10.2669_3530_N/A_Massbank:NA001382 Coniine_no matches_no matches_no matches_no matches,NA,129839.5,NA,90826.94,68613.76,3
930_200.1281_5.696_1088_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,177172.8,NA,NA,1
953_201.0733_1.2091_7083_N/A_NA_no matches_no matches_no matches_no matches,79181.38,NA,62610.81,92740.73,NA,3
957_201.112_8.8298_212_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,845822.4,474916.2,185391.7,3
960_201.112_9.7901_212_N/A_NA_no matches_no matches_no matches_no matches,218038.8,NA,3060355,836766.8,241075.4,4
967_201.1272_10.7159_251_N/A_Massbank:EQ315303 2-Aminoheptane|1-methylhexylamine|1-Methylhexylamine_no matches_no matches_no matches_no matches,NA,NA,NA,372326.8,297704.9,2
987_201.1597_4.0947_1472_N/A_Ornithine-C4:0_no matches_no matches_no matches_no matches,NA,NA,NA,NA,898877.8,1
995_202.1073_4.3092_1160_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,562620.4,415398.5,NA,2
996_202.1073_1.6925_1160_N/A_NA_no matches_no matches_no matches_no matches,NA,55039.45,55434.67,NA,NA,2
997_202.1073_1.4013_1160_N/A_NA_no matches_no matches_no matches_no matches,NA,47839.82,NA,NA,NA,1
1001_202.1437_6.6556_2331_N/A_Massbank:LU119202 Ethyl 3-(N-butylacetamido)propionate|Ethyl butylacetylaminopropionate|ethyl 3-[acetyl(butyl)amino]propanoate_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Carboxylic acid derivatives,NA,NA,3805449,NA,NA,1
1010_203.0913_4.3979_212_N/A_3-Ethylvanillin_no matches_no matches_no matches_no matches,NA,NA,NA,NA,36321.37,1
1018_203.1276_8.8855_1452_N/A_SUBERIC ACID_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acid esters,NA,NA,1921720,3079646,NA,2
1019_203.1277_9.8456_1452_N/A_azelaic acid_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acid esters,NA,NA,NA,3266244,NA,1
1024_203.143_9.8682_1452_N/A_AZELAIC ACID_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acid esters,NA,400118.1,NA,NA,419847.4,2
1040_203.1641_9.0141_883_N/A_Spectral Match to 3-Hydroxycapric acid from NIST14_no matches_no matches_no matches_no matches,NA,NA,NA,341529.7,NA,1
1050_204.1133_5.954_2_N/A_Massbank:LU137503 N-(3-Aminophenyl)propanamide_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines,NA,NA,1839270,2761378,NA,2
1069_205.1069_5.0728_152_N/A_NA_no matches_no matches_no matches_no matches,NA,17070.16,50776.39,30868.05,18685.05,4
1070_205.1221_8.6081_-1_N/A_NA_no matches_no matches_no matches_no matches,183913.5,NA,179958.4,193875.7,248272.6,4
1072_205.1222_10.1357_6708_N/A_Isoalantolactone_no matches_no matches_no matches_no matches,195985.4,412443.6,262859.4,570962.7,394829.9,5
1089_205.1586_11.0886_1039_N/A_MassbankEU:SM823305 Monoisobutyl phthalate|Isobutyl hydrogen phthalate|2-(2-methylpropoxycarbonyl)benzoic acid_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives,NA,NA,NA,347577.5,NA,1
"1096_205.195_11.3082_151_N/A_Massbank:NA002717 (+)-Costunolide|Costunolide|(3aS,6E,10E,11aR)-6,10-dimethyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_NA",NA,NA,NA,107706.4,NA,1
1106_206.1175_3.1564_3123_N/A_XANTHURENIC ACID_Organic compounds_Organoheterocyclic compounds_Quinolines and derivatives_Quinoline carboxylic acids,NA,225097.6,234148.8,NA,NA,2
1108_206.1387_1.8767_7935_Dexpanthenol_Dexpanthenol_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides,NA,370305.1,218283.7,NA,461665.4,3
1109_206.1387_1.1195_-1_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,23776.51,NA,NA,1
1123_207.0586_4.0894_1369_N/A_Amoxicillin - 30.0 eV_no matches_no matches_no matches_no matches,123088.1,91639.09,122106,102210.1,123355.7,5
1135_207.1015_9.4799_4216_N/A_HORDENINE_no matches_no matches_no matches_no matches,NA,350628.7,512407.9,435667,NA,3
"1171_207.1491_3.6698_125_MoNA:833200 N-(2,6-dimethylphenyl)-2-(ethylamino)acetamide_Massbank:EQ347102 Norlidocaine|Monoethylglycinexylidide|N-(2,6-dimethylphenyl)-2-(ethylamino)acetamide_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",NA,NA,129276,119875.5,124430,3
"1176_208.0459_8.1159_2_N/A_MoNA:2888682 2',4-Dihydroxychalcone_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",NA,NA,NA,149657,97897.81,2
1209_209.117_8.5885_406_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,455383.2,NA,NA,1
1210_209.117_8.6578_406_N/A_Zerumbone_no matches_no matches_no matches_no matches,NA,NA,382225.8,NA,NA,1
"1213_209.1171_10.1504_1873_N/A_Spectral Match to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol from NIST14_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Carbonyl compounds",245800.5,NA,NA,NA,197522.4,2
1216_209.1171_8.1465_-1_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,230314.6,NA,1
"1241_209.1535_10.3029_364_N/A_Massbank:NA000852 Valerophenone_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Bile acids, alcohols and derivatives",NA,NA,NA,1182114,NA,1
"1257_210.076_6.3457_6789_N/A_MoNA:629402 N-(3,4-dichlorophenyl)propanamide_no matches_no matches_no matches_no matches",NA,NA,65484.45,61961.01,NA,2
1259_210.1124_3.3678_7204_N/A_Gigantol_no matches_no matches_no matches_no matches,NA,NA,246886.5,NA,NA,1
1273_210.16_2.7197_-1_N/A_5-HYDROXYINDOLE_no matches_no matches_no matches_no matches,NA,258311.4,410532.2,864253.1,534578.8,4
1303_211.1327_7.8673_1310_Jasmonic Acid_Germacrone_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Lineolic acids and derivatives,NA,NA,NA,1188491,NA,1
1360_212.1644_3.9494_-1_N/A_NA_no matches_no matches_no matches_no matches,209238.8,NA,NA,NA,NA,1
1361_212.1756_6.1477_5211_N/A_CREATINE_no matches_no matches_no matches_no matches,NA,2061510,NA,NA,3383573,2
"1374_213.1096_2.6052_8797_N/A_Massbank:LU028201 Norgestrel|Levonorgestrel|(8R,9S,10R,13S,14S,17R)-13-ethyl-17-ethynyl-17-hydroxy-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one_Organic compounds_Alkaloids and derivatives_Harmala alkaloids_NA",451364.5,NA,2198489,NA,NA,2
"1376_213.1096_2.283_8797_Harmine_Massbank:LU042901 Norethindrone|(8R,9S,10R,13S,14S,17R)-17-ethynyl-17-hydroxy-13-methyl-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one_Organic compounds_Alkaloids and derivatives_Harmala alkaloids_NA",NA,218800,3073176,NA,NA,2
1383_213.1119_7.8653_1821_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,159134.5,146312.9,NA,2
1393_213.1272_10.6966_151_N/A_12-Hydroxydodecanoic acid_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_NA,NA,NA,NA,131574.3,142769.8,2
1411_213.1596_5.1308_7117_N/A_1946-82-3_no matches_no matches_no matches_no matches,NA,NA,172523.2,284872.3,NA,2
1412_213.1636_10.4886_151_N/A_OMEGA-HYDROXYDODECANOATE_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_NA,NA,NA,NA,526830.5,NA,1
1414_213.1848_10.3641_151_N/A_12-Hydroxydodecanoic acid_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_NA,NA,NA,NA,NA,469553,1
1444_214.1912_6.2383_-1_N/A_ReSpect:PT100800 2-Hydroxypyridine|2(1H)-Pyridone|2-Pyridinol|2-Oxopyridine|2-Pyridinol|1H-pyridin-2-one_no matches_no matches_no matches_no matches,NA,27408.31,NA,27430.61,NA,2
1445_214.1912_6.0307_1973_N/A_Karakoline_no matches_no matches_no matches_no matches,NA,93538.55,NA,86044.52,96743.02,3
"1457_215.0814_3.8318_-1_N/A_1,5-dimethyl-1-vinyl-4-hexenyl acetate_no matches_no matches_no matches_no matches",125838.8,NA,NA,NA,NA,1
"1460_215.089_1.2639_-1_Pesticide5_Metribuzin_C8H14N4OS_4-Amino-6-(2-methyl-2-propanyl)-3-(methylsulfanyl)-1,2,4-triazin-5(4H)-one_6-hydroxy-2-(4-hydroxyphenyl)-4H-chromen-4-one_Organic compounds_Organosulfur compounds_Thioethers_Aryl thioethers",NA,NA,NA,133303.7,115172.8,2
1461_215.089_1.213_7413_N/A_Liquiritigenin_no matches_no matches_no matches_no matches,NA,NA,247439.3,NA,NA,1
1486_215.1429_9.8497_611_N/A_NA_no matches_no matches_no matches_no matches,125197.5,123163.4,NA,87191.35,248622.2,4
1499_216.1018_3.1992_1073_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,19017.97,30440.79,2
1504_216.1342_3.1924_336_N/A_oxypeucedanin methanolate_Organic compounds_Organoheterocyclic compounds_Azoles_Thiazoles,NA,NA,706176.6,1264264,NA,2
1505_216.1342_3.2833_336_N/A_oxypeucedanin methanolate_Organic compounds_Organoheterocyclic compounds_Azoles_Thiazoles,NA,NA,935944.2,1777126,NA,2
1508_216.1486_6.1485_350_N/A_NA_no matches_no matches_no matches_no matches,28155.88,NA,NA,NA,NA,1
1527_217.0503_1.96_377_N/A_5-hydroxy-2-(4-hydroxyphenyl)-7-methoxy-4H-chromen-4-one_no matches_no matches_no matches_no matches,NA,NA,117874.6,176349.1,NA,2
1528_217.0504_2.2318_377_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,147132.6,202214.1,NA,2
1534_217.1069_4.4037_212_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,286534.5,282074.2,NA,2
1537_217.1069_4.8245_50_N/A_NA_no matches_no matches_no matches_no matches,19634.23,41445.44,NA,31584.71,49136.99,4
1539_217.1222_6.9118_50_N/A_NA_no matches_no matches_no matches_no matches,189170,229843.8,216324,NA,176977.7,4
1547_217.1222_10.5158_-1_N/A_Parthenolide_no matches_no matches_no matches_no matches,NA,NA,NA,322665,NA,1
