"","max_blanks","mean_samples","flag"
"4554_273.2534_8.9064_-1_N/A_NA_no matches_no matches_no matches_no matches",259204.3,1229.025125,1
"4555_274.1199_7.4522_498_N/A_(6-methyl-6-azabicyclo[4.4.0]dec-2-yl)methyl 3-aminopropanoate, iodide_no matches_no matches_no matches_no matches",85024.75,322.594291666667,1
"4556_274.12_7.6054_498_N/A_(6-methyl-6-azabicyclo[4.4.0]dec-2-yl)methyl 3-aminopropanoate, iodide_no matches_no matches_no matches_no matches",94336.32,269.510708333333,1
"4557_274.1643_6.0641_4083_N/A_NA_no matches_no matches_no matches_no matches",206870.9,70347.0583333333,1
"4558_274.1645_5.4281_1370_N/A_Yangonin_Organic compounds_Organoheterocyclic compounds_Quinolines and derivatives_4-hydroxy-2-alkylquinolines",272078.3,44828.9220833333,1
"4559_274.1646_5.8899_2754_N/A_NA_no matches_no matches_no matches_no matches",260555.5,53507.0591666667,1
"4561_274.1647_4.585_6028_N/A_7-beta-Hydroxylathyrol_no matches_no matches_no matches_no matches",299787.5,23371.10575,1
"4562_274.1647_5.7656_3132_N/A_NA_no matches_no matches_no matches_no matches",1317322,119209.873333333,1
"4563_274.1647_5.687_3132_N/A_NA_no matches_no matches_no matches_no matches",761653.5,216617.65625,1
"4575_274.2009_8.5995_8741_N/A_NA_no matches_no matches_no matches_no matches",153027.4,29592.9365,1
"4576_274.201_6.9501_5300_N/A_6,8-Diprenylorobol_no matches_no matches_no matches_no matches",708760,72519.9683333333,1
"4577_274.201_9.4047_125_N/A_sphingosin C16 (Artifact)-emf_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",96701.41,40199.8675,1
"4578_274.201_7.7595_498_N/A_NA_no matches_no matches_no matches_no matches",302856.3,433939.875,1
"4579_274.201_4.1663_8437_N/A_NA_no matches_no matches_no matches_no matches",240630.9,166022.083333333,1
"4580_274.201_9.8389_-1_N/A_NA_no matches_no matches_no matches_no matches",100043.1,50496.52375,1
"4582_274.201_7.5772_498_N/A_(6-methyl-6-azabicyclo[4.4.0]dec-2-yl)methyl 3-aminopropanoate, iodide_no matches_no matches_no matches_no matches",127418.4,13339.8324166667,1
"4583_274.201_7.2893_-1_N/A_NA_no matches_no matches_no matches_no matches",165971.2,86201.2658333333,1
"4584_274.201_7.4606_498_N/A_(6-methyl-6-azabicyclo[4.4.0]dec-2-yl)methyl 3-aminopropanoate, iodide_no matches_no matches_no matches_no matches",1492668,33865.7106666667,1
"4585_274.201_4.6496_6028_N/A_2,3-dihydro-1H-carbazol-4(9H)-one_no matches_no matches_no matches_no matches",264503.7,22752.3849583333,1
"4586_274.201_5.8289_4083_N/A_NA_no matches_no matches_no matches_no matches",251662.2,17965.9853333333,1
"4588_274.2162_7.109_-1_N/A_NA_no matches_no matches_no matches_no matches",103013.1,61475.72675,1
"4589_274.2163_9.5678_125_N/A_sphingosin C16 (Artifact)-emf_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",10237.54,13843.687375,1
"4590_274.2163_10.0946_-1_N/A_Massbank:EA295810 Fenpropidin|1-[3-(4-tert-butylphenyl)-2-methyl-propyl]piperidine_no matches_no matches_no matches_no matches",3867.314,4984.52275,1
"4591_274.2373_6.977_5300_N/A_NA_no matches_no matches_no matches_no matches",109229.1,8461.127125,1
"4592_274.2526_9.2452_125_N/A_sphingosin C16 (Artifact)-emf_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",365539.9,94906.5125833333,1
"4593_274.2526_9.7127_4881_N/A_(3aS,3a1S,10bR,13S)-3a-ethyl-5-(methoxycarbonyl)-1,2,3,3a,3a1,4,6,11,12,13-decahydroindolizino[8,1-cd]carbazol-13-ium iodide_no matches_no matches_no matches_no matches",2515216,810584.473791667,1
"4594_274.2526_9.4308_125_N/A_sphingosin C16 (Artifact)-emf_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",1441589,221516.892875,1
"4595_274.2526_9.8823_4881_N/A_(3aS,3a1S,10bR,13S)-3a-ethyl-5-(methoxycarbonyl)-1,2,3,3a,3a1,4,6,11,12,13-decahydroindolizino[8,1-cd]carbazol-13-ium iodide_no matches_no matches_no matches_no matches",6778732,1377462.94604167,1
"4596_274.2526_10.0502_-1_2532_Fenpropidin_""2,4,6-Trimethylpyridin""_Organic compounds_Benzenoids_Benzene and substituted derivatives_Phenylpropanes",18054210,5102870.05920833,1
"4597_274.2527_10.2418_3227_Massbank:EA295810 Fenpropidin|1-[3-(4-tert-butylphenyl)-2-methyl-propyl]piperidine_Massbank:LU080702 Azacyclotridecan-2-one_Organic compounds_Benzenoids_Benzene and substituted derivatives_Phenylpropanes",3654812,1423903.67220833,1
"4598_274.2737_9.2421_125_sphingosin C16 (Artifact)-emf_sphingosin C16 (Artifact)-emf_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",1065185,506.72175,1
"4601_274.2738_9.423_125_sphingosin C16 (Artifact)-emf_sphingosin C16 (Artifact)-emf_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",3233905,1485140.41666667,1
"4602_274.2738_8.7269_8741_N/A_NA_no matches_no matches_no matches_no matches",16868.94,661.007416666667,1
"4603_274.2738_10.2039_2731_N/A_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",55154.74,34027.8333333333,1
"4604_274.2738_8.2673_-1_N/A_Massbank:EA278404 DDAO| N,N-dimethyl-1-decanamine oxide|NN-Dimethyldicylamine N-oxide_no matches_no matches_no matches_no matches",11945.58,6177.40008333333,1
"4605_274.2738_9.9116_-1_N/A_Massbank:LU068401 N,N-Dimethyldecylamine oxide|1-Decanamine, N,N-dimethyl-, N-oxide|N,N-dimethyldecan-1-amine oxide_no matches_no matches_no matches_no matches",111618.6,76758.6008333333,1
"4606_274.2738_8.9601_-1_N/A_Massbank:EA278404 DDAO| N,N-dimethyl-1-decanamine oxide|NN-Dimethyldicylamine N-oxide_no matches_no matches_no matches_no matches",10992.6,245.546791666667,1
"4607_274.2738_9.9809_125_Massbank:LU030802 Lauryldiethanolamine|2-[dodecyl(2-hydroxyethyl)amino]ethanol_Massbank:LU068401 N,N-Dimethyldecylamine oxide|1-Decanamine, N,N-dimethyl-, N-oxide|N,N-dimethyldecan-1-amine oxide_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",70906.48,141578.580416667,1
"4610_275.0736_5.7889_2804_2'-methoxyflavone_Spectral Match to Coproporphyrin I from NIST14_Organic compounds_Phenylpropanoids and polyketides_Flavonoids_O-methylated flavonoids",783795.8,13079.5592083333,1
"4612_275.1098_2.6922_-1_N/A_Mirapex_no matches_no matches_no matches_no matches",431096.6,104470.376583333,1
"4613_275.1098_2.1153_7588_N/A_7,4??????-Di-O-methylapigenin_no matches_no matches_no matches_no matches",37893.81,74060.9222083333,1
"4615_275.1098_2.3719_7588_N/A_Isokaempferide_no matches_no matches_no matches_no matches",78796.22,131162.859583333,1
"4616_275.1098_2.931_-1_N/A_Propionic acid_no matches_no matches_no matches_no matches",206858.8,64894.2172083333,1
"4619_275.112_7.17_3518_N/A_DEOXYADENOSINE_no matches_no matches_no matches_no matches",1044699,612418.564416667,1
"4627_275.1276_6.6683_203_N/A_NA_no matches_no matches_no matches_no matches",123915.5,222977.468333333,1
"4634_275.1462_10.4102_7341_N/A_NA_no matches_no matches_no matches_no matches",1924410,236465.88475,1
"4636_275.1464_3.403_864_N/A_Massbank:EQ328401 Dienogest|2-[(8S,13S,14S,17R)-17-hydroxy-13-methyl-3-oxo-1,2,6,7,8,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-17-yl]acetonitrile_no matches_no matches_no matches_no matches",7485.92,14700.8284583333,1
"4637_275.1465_3.841_2097_N/A_Massbank:LU042501 2,7-Acetylaminofluorene|2,7-Diacetamidofluorene|N-(7-acetamido-9H-fluoren-2-yl)acetamide_no matches_no matches_no matches_no matches",117812.1,31651.0154166667,1
"4641_275.1487_5.1075_306_N/A_NA_no matches_no matches_no matches_no matches",13989.84,8243.651,1
"4642_275.1487_4.9494_306_N/A_NA_no matches_no matches_no matches_no matches",60981.98,12878.631875,1
"4652_275.1639_9.9878_5677_N/A_Spectral Match to 19(20)-EpDPE from NIST14_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Terpene lactones",186407.7,315896.10875,1
"4653_275.1639_10.5692_618_N/A_14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.01/4,1/4?.0?,?]hexadecan-5-ol_no matches_no matches_no matches_no matches",171922.1,300726.505833333,1
"4654_275.164_10.2991_618_N/A_14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.01/4,1/4?.0?,?]hexadecan-5-ol_no matches_no matches_no matches_no matches",193845.4,212744.745833333,1
"4656_275.1849_8.1876_-1_N/A_NA_no matches_no matches_no matches_no matches",28110.03,4099.845375,1
"4657_275.185_7.2363_3_N/A_Spectral Match to 12,13-DiHOME from NIST14_no matches_no matches_no matches_no matches",3523.495,3636.61933333333,1
"4658_275.185_6.6757_3_N/A_Spectral Match to 12-Ketodeoxycholic acid from NIST14_no matches_no matches_no matches_no matches",12728.43,6001.918375,1
"4659_275.2003_7.9965_4567_N/A_NA_no matches_no matches_no matches_no matches",20052.16,32260.06375,1
"4660_275.2003_9.207_2976_N/A_14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.01/4,1/4?.0?,?]hexadecan-5-ol_no matches_no matches_no matches_no matches",33510.79,66986.0595833333,1
"4662_275.2003_10.8714_-1_Spectral Match to 9-OxoOTrE from NIST14_Spectral Match to 8-HETE from NIST14_no matches_no matches_no matches_no matches",304191.3,263761.785416667,1
"4664_275.2003_11.4366_-1_Spectral Match to 9-OxoOTrE from NIST14_Arachidic acid_no matches_no matches_no matches_no matches",154622.5,258123.347083333,1
"4667_275.2004_10.144_618_N/A_Spectral Match to 4(5)-EpDPE methyl ester from NIST14_no matches_no matches_no matches_no matches",496614.9,296739.5525,1
"4668_275.2004_11.1084_462_Spectral Match to 9-OxoOTrE from NIST14_enoxolone_no matches_no matches_no matches_no matches",185174.6,324426.883333333,1
"4669_275.2004_9.8345_7415_N/A_Spectral Match to 8-HETE from NIST14_no matches_no matches_no matches_no matches",163990.1,172323.850416667,1
"4670_275.2004_9.9206_7415_N/A_Spectral Match to 8-HETE from NIST14_no matches_no matches_no matches_no matches",326119.3,290333.725,1
"4671_275.2004_11.0509_618_Spectral Match to 9-OxoOTrE from NIST14_Spectral Match to 8-HETE from NIST14_no matches_no matches_no matches_no matches",431629.5,438208.570833333,1
"4672_275.2004_10.5589_618_Spectral Match to 9-OxoOTrE from NIST14_Spectral Match to 8-HETE from NIST14_no matches_no matches_no matches_no matches",323408.6,584522.2825,1
"4673_275.2004_10.327_2820_Spectral Match to 9-OxoOTrE from NIST14_Spectral Match to 8-HETE from NIST14_no matches_no matches_no matches_no matches",284651,392786.1125,1
"4674_275.2004_10.4264_618_Spectral Match to 9-OxoOTrE from NIST14_Spectral Match to 8-HETE from NIST14_no matches_no matches_no matches_no matches",542277.8,406300.916666667,1
"4675_275.2367_12.1663_-1_N/A_Arachidic acid_no matches_no matches_no matches_no matches",152818,166798.93375,1
"4676_275.2368_10.3858_7341_N/A_NA_no matches_no matches_no matches_no matches",1113644,4363.86554166667,1
"4677_275.256_9.9049_-1_N/A_NA_no matches_no matches_no matches_no matches",448043.7,261350.597291667,1
"4679_275.2729_12.5482_4125_N/A_Beta-Elemene_no matches_no matches_no matches_no matches",131960.6,201702.025,1
"4681_276.1076_6.7913_2_N/A_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",82144.17,701.853291666667,1
"4682_276.1228_6.3272_-1_N/A_NA_no matches_no matches_no matches_no matches",624087.1,46522.6795833333,1
"4683_276.1229_4.4439_-1_N/A_Pyruvic acid_no matches_no matches_no matches_no matches",547991.8,45189.3141666667,1
"4684_276.1229_4.7777_-1_N/A_Pyruvic acid_no matches_no matches_no matches_no matches",975745.6,58341.5295833333,1
"4687_276.1359_7.1792_2552_N/A_NA_no matches_no matches_no matches_no matches",4846034,30267.6992083333,1
"4689_276.1588_7.6879_4565_HOMATROPINE_5-(hydroxyimino)-2,15-dimethyltetracyclo[8.7.0.0.0]heptadecan-14-o l_Organic compounds_Alkaloids and derivatives_Tropane alkaloids_NA",1449082,21505.8270833333,1
"4698_276.1803_7.8565_4565_N/A_Massbank:FFF00095 Dehydroepiandrosterone_Organic compounds_Alkaloids and derivatives_Tropane alkaloids_NA",332621.7,123137.932916667,1
"4699_276.1804_6.6487_-1_N/A_NCGC00381248-01!4-oxododecanedioic acid_no matches_no matches_no matches_no matches",887667.2,13583.5989166667,1
"4700_276.1804_7.3981_2552_N/A_NCGC00380346-01!2-(7-hydroxyoctyl)pentanedioic acid_no matches_no matches_no matches_no matches",240608,9624.3835,1
"4702_276.1804_6.8485_2552_N/A_NA_no matches_no matches_no matches_no matches",285950.7,26674.0107916667,1
"4703_276.1934_9.9022_-1_N/A_5-(hydroxyimino)-2,15-dimethyltetracyclo[8.7.0.0.0]heptadecan-14-o l_no matches_no matches_no matches_no matches",184104.9,54812.9591666667,1
"4704_276.1955_5.3708_6946_N/A_thiamine_no matches_no matches_no matches_no matches",94032.97,175311.069583333,1
"4714_276.232_8.3668_3056_N/A_MoNA:701722 1-Butanamine, N,N-dibutyl-_no matches_no matches_no matches_no matches",2216495,7656.85295833333,1
"4715_276.232_10.8808_505_N/A_Magnocurarine_Organic compounds_Alkaloids and derivatives_Tropane alkaloids_NA",170419.6,82460.16,1
"4716_276.232_11.034_-1_N/A_NA_no matches_no matches_no matches_no matches",225744.7,103763.520833333,1
"4717_276.2684_9.8157_-1_(2R,6R)-2-methyl-6-undecylpiperidine_Massbank:NA003002 Dicyclohexylamine|N-cyclohexylcyclohexanamine_Organic compounds_Alkaloids and derivatives_NA_NA",202212.7,53054.806375,1
"4718_276.2685_8.9988_-1_N/A_NA_no matches_no matches_no matches_no matches",600596.1,104305.192083333,1
"4719_277.0899_3.9461_2208_N/A_Graveoline_no matches_no matches_no matches_no matches",1605473,6065.39183333333,1
"4720_277.0957_4.003_355_N/A_NA_no matches_no matches_no matches_no matches",1487680,124953.421541667,1
"4721_277.0957_3.8945_355_N/A_NA_no matches_no matches_no matches_no matches",431732.3,35650.7200416667,1
"4722_277.0957_3.8399_355_N/A_NA_no matches_no matches_no matches_no matches",415939.2,29404.7065,1
"4724_277.1069_6.6352_1370_N/A_2-(4-chlorophenyl)-6-methylchromen-4-one_Organic compounds_Organoheterocyclic compounds_Quinolines and derivatives_4-hydroxy-2-alkylquinolines",290110.6,165989.079166667,1
"4726_277.1069_5.068_1301_N/A_NA_no matches_no matches_no matches_no matches",240980.3,172197.304166667,1
"4727_277.1069_5.5737_152_N/A_NA_no matches_no matches_no matches_no matches",85873.48,164424.559583333,1
"4728_277.1069_4.7892_1301_N/A_NA_no matches_no matches_no matches_no matches",536652.1,135517.397083333,1
"4729_277.1069_4.9261_1301_N/A_NA_no matches_no matches_no matches_no matches",411896,116750.410416667,1
"4730_277.107_6.433_4753_N/A_NA_no matches_no matches_no matches_no matches",179726.5,314198.5125,1
"4731_277.107_5.6755_152_N/A_NA_no matches_no matches_no matches_no matches",121677.4,241287.320833333,1
"4742_277.128_7.5118_3665_0055_Triethylcitrate_MassbankEU:SM878101 Triethylcitrate|triethyl 2-hydroxypropane-1,2,3-tricarboxylate_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Tricarboxylic acids and derivatives",16632000,9022398.375,1
"4744_277.1432_7.657_6447_N/A_Artemisinin_no matches_no matches_no matches_no matches",371718.2,244726.804166667,1
"4745_277.1432_7.5914_3665_N/A_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Tricarboxylic acids and derivatives",422334.9,203449.357083333,1
"4747_277.1433_9.8791_2736_N/A_NA_no matches_no matches_no matches_no matches",1676840,683683.470833333,1
"4761_277.1545_4.7707_1301_N/A_NA_no matches_no matches_no matches_no matches",60645.15,101937.597916667,1
"4771_277.1619_10.5855_591_N/A_Spectral Match to 13S-Hydroxy-9Z,11E,15Z-octadecatrienoic acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",7918272,544482.658083333,1
"4772_277.1621_10.2545_-1_N/A_NA_no matches_no matches_no matches_no matches",469289,104024.282625,1
"4773_277.1622_10.1029_649_N/A_Spectral Match to 9-Oxo-10E,12Z-octadecadienoic acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",216395.5,37946.391625,1
"4774_277.1623_10.7128_591_N/A_Dehydroepiandrosterone_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",5177528,845912.359166667,1
"4775_277.1637_3.4631_2523_Massbank:PR311079 Coumaroyl agmatine (isomer of 1297)_Massbank:PR311079 Coumaroyl agmatine (isomer of 1297)_Organic compounds_Phenylpropanoids and polyketides_Cinnamic acids and derivatives_Hydroxycinnamic acids and derivatives",7172754,17221.462875,1
"4779_277.165_4.0517_2523_Massbank:PR311079 Coumaroyl agmatine (isomer of 1297)_Paprazine_Organic compounds_Phenylpropanoids and polyketides_Cinnamic acids and derivatives_Hydroxycinnamic acids and derivatives",3306606,12278.984,1
"4780_277.1796_8.6916_-1_N/A_Massbank:LU042902 Norethindrone|(8R,9S,10R,13S,14S,17R)-17-ethynyl-17-hydroxy-13-methyl-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one_no matches_no matches_no matches_no matches",113653.7,192375.229166667,1
"4781_277.1796_11.2614_-1_N/A_Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14_no matches_no matches_no matches_no matches",130684.6,177141.241666667,1
"4782_277.1796_9.9598_3657_N/A_7,8,2'-Trihydroxyflavone_no matches_no matches_no matches_no matches",390385.6,295413.547916667,1
"4784_277.1796_10.7216_-1_N/A_NA_no matches_no matches_no matches_no matches",308940.9,249091.337083333,1
"4785_277.1796_8.8899_-1_N/A_Massbank:LU042902 Norethindrone|(8R,9S,10R,13S,14S,17R)-17-ethynyl-17-hydroxy-13-methyl-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one_no matches_no matches_no matches_no matches",89934.5,169864.329583333,1
"4786_277.1796_10.165_2019_N/A_14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.01/4,1/4?.0?,?]hexadecan-5-ol_no matches_no matches_no matches_no matches",275613.8,532330.5875,1
"4787_277.1796_9.7624_3657_N/A_7,8,2'-Trihydroxyflavone_no matches_no matches_no matches_no matches",967915.2,388767.105,1
"4790_277.1797_11.0257_702_N/A_4-ACETAMIDOPHENOL_Organic compounds_Phenylpropanoids and polyketides_Cinnamic acids and derivatives_Cinnamic acid esters",2751052,624308.016666667,1
"4791_277.1797_11.0865_702_N/A_4-ACETAMIDOPHENOL_Organic compounds_Phenylpropanoids and polyketides_Cinnamic acids and derivatives_Cinnamic acid esters",1900372,349912.916666667,1
"4792_277.1797_10.9235_702_N/A_4-ACETAMIDOPHENOL_Organic compounds_Phenylpropanoids and polyketides_Cinnamic acids and derivatives_Cinnamic acid esters",238483.9,334928.133333333,1
"4793_277.1797_9.0359_-1_N/A_Massbank:LU042902 Norethindrone|(8R,9S,10R,13S,14S,17R)-17-ethynyl-17-hydroxy-13-methyl-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one_no matches_no matches_no matches_no matches",291923.4,218326.96125,1
"4794_277.1797_9.5471_8121_N/A_Spectral Match to (.+/-.)-8-Hydroxy-5Z,9E,11Z,14Z,17Z-eicosapentaenoic acid from NIST14_no matches_no matches_no matches_no matches",339755.6,234307.26625,1
"4795_277.1797_9.6998_8121_N/A_Spectral Match to 8-HETE from NIST14_no matches_no matches_no matches_no matches",337020.3,240505.163333333,1
"4796_277.1797_10.5124_-1_N/A_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_no matches_no matches_no matches_no matches",207414.3,300712.580416667,1
"4797_277.1797_10.42_-1_N/A_Artemisinin_no matches_no matches_no matches_no matches",206062.8,368302.35,1
"4798_277.2007_9.3359_1032_N/A_Massbank:LU084702 Triethylene glycol bis(2-ethylhexanoate)|2-[2-[2-(2-ethylhexanoyloxy)ethoxy]ethoxy]ethyl 2-ethylhexanoate_no matches_no matches_no matches_no matches",1247849,216853.517916667,1
"4799_277.2007_7.1955_1452_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acid esters",140700.7,16964.1329166667,1
"4800_277.2158_10.6805_649_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",1010209,1133290.2625,1
"4801_277.2159_13.2834_-1_N/A_NA_no matches_no matches_no matches_no matches",44338.41,18643.6786666667,1
"4802_277.2159_10.2151_649_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",1691024,1097352.52083333,1
"4803_277.2159_13.0663_-1_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Isotretinoin_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",42685.19,26227.5807916667,1
"4804_277.2159_8.8594_649_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",147425.8,39305.5921666667,1
"4805_277.2159_9.3292_649_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",54229.69,43163.425625,1
"4806_277.216_9.7424_649_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",448149.4,333869.594583333,1
"4807_277.216_9.4203_1032_N/A_Massbank:LU084702 Triethylene glycol bis(2-ethylhexanoate)|2-[2-[2-(2-ethylhexanoyloxy)ethoxy]ethoxy]ethyl 2-ethylhexanoate_no matches_no matches_no matches_no matches",40101.71,37434.3164583333,1
"4808_277.216_11.5455_649_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",121189.5,145162.733333333,1
"4809_277.216_11.4151_649_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",147903.6,281478.205,1
"4810_277.216_10.8413_649_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",233558.5,197691.569166667,1
"4811_277.216_9.68_649_Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14_Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",388487.1,197373.13625,1
"4813_277.216_11.6649_-1_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",260312.5,250529.266666667,1
"4814_277.216_11.2146_649_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",292492.5,288932.133333333,1
"4815_277.216_8.9575_649_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",161421.8,77664.0526666667,1
"4816_277.216_9.8657_-1_Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14_Spectral Match to Pinolenic acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Lineolic acids and derivatives",204451,107514.66375,1
"4817_277.216_8.2964_-1_N/A_NA_no matches_no matches_no matches_no matches",14692.05,19215.438125,1
"4818_277.216_10.9096_649_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",375356.6,301653.266666667,1
"4819_277.216_10.0585_649_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",158257.7,83197.1625,1
"4820_277.216_11.814_-1_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",118472.3,235385.655833333,1
"4821_277.216_11.1005_649_Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14_Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",476325.3,509291.8875,1
"4822_277.216_10.5514_649_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",712210.6,229118.06625,1
"4823_277.216_10.3976_649_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",382493.2,203793.024583333,1
"4824_277.2372_10.5975_-1_N/A_Massbank:AU406506 3,6,9,12-Tetraoxatetracosan-1-ol|Tetraethylene glycol monododecyl ether|2-[2-[2-(2-dodecoxyethoxy)ethoxy]ethoxy]ethanol_no matches_no matches_no matches_no matches",1412897,240639.900833333,1
"4825_278.1022_2.4285_3043_N/A_4-(3,7-dioxo-2-(propan-2-ylidene)-3,7,8,9-tetrahydro-2H-furo[2,3-f]chromen-9-yl)-2,6-dimethoxyphenyl acetate_Organic compounds_Benzenoids_Anthracenes_NA",40705.42,39900.337375,1
"4826_278.1382_5.2967_-1_Massbank:PR310560 Convolidine_colchicine_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",854557.4,41299.6166666667,1
"4827_278.1384_5.4783_50_N/A_NA_no matches_no matches_no matches_no matches",786359.1,81171.66875,1
"4828_278.1385_5.0691_6706_Massbank:PR301478 Convolidine_7,3',4',5'-Tetrahydroxyflavone_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",406442.8,84431.1291666667,1
"4829_278.1385_4.2012_-1_N/A_4-amino-12-oxa-8,17-diazaheptacyclo[15.5.2.0.0.0.0.0]tetracosa-2(7),3,5,14-tetraen-9-one_no matches_no matches_no matches_no matches",1151953,162953.237083333,1
